"location";"longitude";"latitude";"main_vegetation_type";"annual_mean_temperature";"mean_frequency_of_frosts_days";"annual_precipitation_mm";"mean_diurnal_temperature_range";"precipitation_in_wettest_month_mm";"precipitation_in_dryest_month_mm";"species_richness_all"
"859";"AtlRJ00118";"41-23-23 W";"22-08-32 S";"Coastal sandy mosaic";"23,1";0;1067;"8,6";145;33;106
"860";"AtlRJ00218";"41-36-37 W";"22-13-22 S";"Coastal sandy mosaic";"23";0;1101;"8,7";160;39;121
"861";"AtlRJ00318";"42-29-29 W";"22-54-26 S";"Coastal sandy mosaic";"23,1";0;1055;"7,5";143;43;179
"862";"AtlRJ00418";"43-05-24 W";"22-56-47 S";"Coastal sandy mosaic";"23,1";0;1277;"7,9";154;55;102
"863";"AtlRJ00518";"42-48-37 W";"22-56-56 S";"Coastal sandy mosaic";"23,2";0;1181;"8";151;49;137
"864";"AtlRJ00618";"44-34-28 W";"23-02-45 S";"Coastal sandy mosaic";"23,2";0;1954;"9,2";275;72;111
"865";"AtlRJ00718";"43-31-31 W";"23-02-51 S";"Coastal sandy mosaic";"23,2";0;1265;"8,7";162;45;115
"866";"AtlRJ00818";"43-52-10 W";"23-02-54 S";"Coastal sandy mosaic";"23,5";0;1332;"8,6";178;47;101
"867";"AtlRJ00918";"44-16-57 W";"23-10-24 S";"Coastal sandy mosaic";"23,4";0;1623;"9";234;56;98
"868";"AtlRJ01018";"41-02-10 W";"21-44-42 S";"Coastal sandy mosaic";"23,1";0;1022;"8,6";148;28;126
"869";"AtlRJ01118";"41-51-38 W";"22-27-38 S";"Coastal sandy mosaic";"22,9";0;1087;"8,2";165;42;128
"870";"AtlRJ01218";"43-01-36 W";"22-42-19 S";"Coastal sandy mosaic";"23,2";0;1313;"8,7";178;44;132
"871";"AtlRJ01318";"42-02-03 W";"22-51-52 S";"Coastal sandy mosaic";"22,9";0;863;"6,5";114;38;119
"872";"AtlRJ01418";"43-46-12 W";"22-55-50 S";"Coastal sandy mosaic";"23,4";0;1299;"8,9";174;42;142
"873";"AtlRJ01518";"43-23-45 W";"23-00-40 S";"Coastal sandy mosaic";"23,3";0;1244;"8,3";154;48;180
"874";"AtlRJ01618";"44-38-14 W";"23-14-26 S";"Coastal sandy mosaic";"23,2";0;2162;"9,4";282;88;168
"875";"AtlRJ01718";"41-53-36 W";"22-45-31 S";"Coastal sandy mosaic";"22,9";0;917;"6,9";124;39;93
"876";"AtlRJ01818";"42-14-10 W";"22-51-38 S";"Coastal sandy mosaic";"23,1";0;936;"7";128;39;84
